SeqID,Label,Production,THLE_bind_log2enr,HepG2_bind_log2enr,HepG2_trans_log2enr,THLE_trans_log2enr,biod_Liver_log2enr,invivo_Liver_log2enr,biod_Brain_log2enr,biod_SC_log2enr,biod_Kidney_log2enr,invivo_Brain_log2enr,invivo_SC_log2enr,invivo_Kidney_log2enr
BI-151,Liver,0.472510054303073,1.68285494562771,2.05647349295777,3.30143851116277,0.542058143566871,1.06785940396265,2.97869327367185,-3.92183755367353,-2.18283424146299,-3.21293523221507,-8.71755925735206,-8.71755925735206,-8.71755925735206
BI-151,Liver,-0.130118805035097,1.27679025654155,2.0858562413107,3.5348904400623,0.552028999312044,1.16630533462833,2.80410904697198,-7.6462722648612,-7.16138908066954,-2.72588177697193,-8.62602693751713,-8.62602693751713,-8.62602693751713
BI-152,Liver,0.492036798825453,2.33448618600046,1.92902327751536,3.10188265893814,0.501192062906676,1.0136181416954,2.23538127656221,-5.03057079885245,-4.29172083105482,-2.12092639650976,-9.22989329613979,-9.22989329613979,-9.22989329613979
BI-152,Liver,-0.0477049964354215,1.5884638718835,1.76781186787601,2.94831473813995,0.668034087272103,0.995537459798264,3.34520163646778,-1.00910307112027,-2.25251591922761,-1.84808870343627,-8.52603917803333,-8.52603917803333,-8.52603917803333
BI-153,Liver,0.727174472971394,2.48907218119553,2.70746180085339,5.10846092152535,1.24892908434084,1.03631266153666,2.27335182142858,-4.80994256089827,-4.82963894362885,-2.37108053305238,-9.11762929354741,-9.11762929354741,-9.11762929354741
BI-153,Liver,0.037303895245046,2.46721895917747,2.30880271239289,5.18455561719549,1.37093026317359,1.02333727396467,2.43519180729526,-4.34036485252294,-4.04633994314352,-2.91345164800776,-8.8552066289381,-8.8552066289381,-8.8552066289381
BI-154,Liver,1.5594794414307,3.72547336640739,2.55876936560837,4.41538021268028,4.83454961582489,0.10646827782866,1.98623696028446,0.20575960069977,1.19423497854383,0.044409475453016,-7.33466667277635,-10.394786771008,0.730960315271282
BI-154,Liver,1.15771192045014,3.54583976919876,2.27909567300614,4.29247972887813,4.65708258788465,-0.38870126894889,1.53010653777011,0.379544158144807,0.916306575540177,-0.247052081570035,1.56641410320648,-9.66843481382077,2.99654515792087
BI-155,Liver,2.01845989098693,3.80755388996828,2.8576910547347,5.28622763318103,2.77150555636224,1.10170396707542,2.09832695795178,-4.36795732363278,-4.00584320965661,-2.46742717758539,-10.6497030219043,-9.67768804821114,-10.6497030219043
BI-155,Liver,0.557548359597357,3.60941233482614,2.91983509898615,5.28738781140633,2.73398923198382,0.982465649053582,1.60915830757104,-3.65854816538972,-2.62157331825399,-2.14417699892227,-9.15036955619335,-9.15036955619335,0.273363961418064
BI-156,Liver,-0.985632384320244,-1.74009525550294,-2.39419665197307,5.02961270262582,3.25585671087664,0.536885582794176,1.8366161015551,-2.22749704493645,-3.81181714061259,-3.83059629337883,-7.77378465633939,-7.77378465633939,-7.77378465633939
BI-156,Liver,-1.28814780801297,-2.592196817648,-1.90389075264268,5.10621076762472,3.22288459275573,0.944885325833444,-7.03354849892908,-3.02496458494144,-5.56891064208149,-2.2643479975093,-7.03354849892908,-7.03354849892908,-7.03354849892908
BI-157,Liver,0.218893123641574,1.83831125493122,1.37487992632199,2.18501464108089,0.994186498441492,0.787739112305359,3.67442333536318,-0.0710118839671155,-3.63301856469808,-0.575210418979278,-8.99920626443142,-8.99920626443142,1.4431172921868
BI-157,Liver,-0.10887573745835,0.658899332539744,1.72208258424408,2.6522102331594,1.11313434987105,0.891720316864548,2.46329797961107,-3.59379704246729,-3.60968610993893,-0.78201839870377,-8.57171623716489,-8.57171623716489,-8.57171623716489
AAV9,AAV9rep,0.852147904237479,-3.28713471761759,-2.27430821485104,-3.98894658791007,-3.67977776083151,-2.04803593110556,-0.13206952427893,-0.36040008403379,-0.222023449331555,-0.936523817713741,-8.21221908476521,-8.67762316462934,-0.0770688303380741
AAV9,AAV9rep,1.41675027300724,-3.63776572597031,-4.93482240078588,-3.45409186431794,-4.1033897093356,-2.35429923695294,0.0308029967149182,-0.95973952818478,0.598029122291615,-0.748193799475431,-0.774550332995528,-9.99940477377465,0.141219379897069
AAV9,AAV9rep,0.695886240104268,-6.20399344013939,-9.02912339560495,-5.0612824613864,-5.13773643398286,-2.76487504794086,-0.201122599851955,-1.12229940343862,-0.259557792378007,-1.18352023408059,-9.02912339560495,-0.398461130876679,1.01868099068909
AAV9,AAV9rep,0.0239326525369116,-1.49676768984986,-6.58248518967934,-4.31541329908048,-3.72778974826241,-2.37797701728679,0.84682671220427,-1.87860473836424,-0.185956162803237,-1.01998383979631,0.526724982712915,-8.78970608575913,1.02626196217717
AAV9,AAV9rep,-0.0656429179574443,-1.10241612253853,-8.66507881614249,-4.00752869668657,-3.85213805240108,-2.11055236422479,-0.531143173441118,0.462730115614726,-0.408104840954946,-0.592731768488018,-8.66507881614249,6.30499819378776,-1.724954741978
AAV9,AAV9rep,-0.329990496360038,-8.67524353140843,-8.67524353140843,-4.92825259702926,-4.4898062678395,-2.76587599100649,-0.19483196617463,0.762693303645987,0.170032869267943,-1.28847898888489,-8.67524353140843,-8.67524353140843,-4.39177709102102
